timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652423.4521708,-53,3.00,22.02,22.00,22.00,22.02,22.09,22.20,22.36,23.54,23.77,24.35,24.70,25.63,25.63,27.86,28.79,28.46,29.41,30.08,29.83,29.43,29.27,29.15,29.07,29.00,29.02,8.00,20.25,19.70,20.12,19.24,19.72,21.10,21.10,21.63,20.81,20.81,20.81,20.81,20.25,20.25,19.72,20.59,20.12,19.70,19.70,19.31,19.92,20.88,21.59,21.38,22.20,21.10
1779652423.4820726,-53,3.00,24.19,25.08,25.08,24.02,24.00,24.02,25.08,25.32,26.48,26.68,27.89,28.16,29.12,30.36,31.32,32.02,32.98,32.76,33.38,33.24,33.06,33.02,33.00,33.06,33.24,9.06,21.95,21.95,21.63,22.20,22.80,23.43,23.43,24.08,23.35,23.35,23.35,23.35,22.67,22.67,22.02,22.20,21.63,22.47,21.95,21.47,21.93,22.85,23.41,24.04,24.74,24.74
1779652423.5152414,-53,3.00,23.02,22.00,22.00,22.02,22.09,22.20,22.36,22.56,22.80,24.04,24.35,25.30,25.63,26.93,27.86,28.79,28.46,29.12,30.08,29.83,29.43,29.27,29.07,30.00,30.07,8.06,19.70,20.12,20.12,20.59,21.10,21.10,21.63,20.81,21.40,21.40,21.40,21.40,21.40,20.81,20.25,19.72,20.59,20.12,20.62,20.25,20.25,20.88,21.84,21.59,22.36,21.21
1779652423.541408,-53,3.00,21.63,21.10,21.10,20.59,21.02,21.54,21.54,22.14,22.80,22.56,23.54,24.33,25.32,26.31,27.46,27.66,28.64,28.86,29.41,28.79,29.15,27.73,28.18,28.30,28.84,7.21,19.42,19.72,19.24,19.24,18.79,19.70,20.25,20.25,20.25,20.25,20.25,20.25,20.25,19.70,19.70,18.79,19.24,18.87,18.87,18.60,19.21,19.85,19.85,19.80,20.52,21.26
1779652423.571061,-53,3.00,20.62,21.19,21.19,20.88,20.62,21.38,21.21,21.21,22.09,23.02,24.00,24.02,25.02,26.02,27.00,28.00,28.02,29.07,29.27,28.44,28.64,27.89,28.46,27.86,28.64,6.71,19.10,18.38,19.10,18.44,19.21,20.00,20.00,20.25,20.25,20.25,20.25,19.42,19.42,19.21,19.21,19.21,19.21,19.10,19.10,19.10,19.21,20.00,19.42,20.25,20.59,21.02
1779652423.60226,-53,3.00,23.41,23.77,23.26,23.26,23.71,23.85,24.41,24.21,24.84,25.50,26.91,27.59,28.28,29.70,30.41,31.14,31.89,32.02,32.80,32.45,31.91,31.76,31.30,31.38,31.95,7.62,21.02,21.00,21.02,22.09,22.20,22.20,22.36,22.36,22.56,22.56,22.56,22.56,22.36,21.38,21.21,21.21,21.10,21.02,21.00,21.02,22.09,22.20,22.20,23.54,23.77,24.04
1779652423.6353312,-53,3.00,18.11,18.03,18.03,18.00,17.03,18.11,18.25,18.44,19.65,19.92,19.92,20.25,21.19,22.47,22.47,23.41,24.04,24.04,23.77,24.52,24.33,24.19,24.08,24.00,24.02,6.00,16.16,14.76,15.00,14.42,15.81,16.40,16.40,16.28,16.97,17.69,17.03,17.03,15.62,15.62,16.40,15.81,15.26,16.12,15.65,15.65,16.16,16.16,16.76,16.76,17.46,17.26
1779652423.6632104,-53,3.00,22.56,22.36,22.20,22.09,22.02,23.00,23.02,23.09,23.19,24.19,24.33,25.50,26.68,27.66,28.44,29.43,29.43,30.27,30.15,30.07,30.02,30.02,29.15,29.43,29.83,8.25,20.25,20.81,20.00,20.00,20.81,21.26,22.02,22.02,21.93,21.93,21.93,21.21,21.21,21.26,20.62,20.62,20.62,20.81,20.25,20.59,21.02,21.02,20.62,21.54,22.14,21.84
1779652423.6921523,-53,3.00,24.17,23.77,23.41,23.09,23.77,23.54,24.33,24.19,25.08,26.02,26.02,27.00,28.00,29.02,30.00,31.00,32.02,32.06,32.14,32.39,32.56,32.02,31.62,31.95,31.78,8.06,21.21,21.93,22.02,22.02,22.80,22.20,23.02,23.02,23.02,23.32,23.32,23.32,22.47,22.47,22.20,21.40,22.02,21.93,21.21,21.93,22.02,22.02,22.20,23.02,23.32,22.83
1779652423.7226686,-53,3.00,24.33,24.33,24.52,24.74,25.00,24.35,24.70,25.08,25.94,27.29,27.78,28.30,29.68,31.06,31.91,31.91,32.25,33.12,33.54,33.11,32.70,32.89,32.28,32.98,33.54,9.22,22.14,22.14,22.47,21.93,21.93,23.26,23.71,23.71,23.71,22.83,23.32,23.32,22.83,22.36,21.93,22.85,22.47,22.14,21.84,22.56,22.36,23.19,23.09,24.02,24.00,24.00
