timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779654610.2554438,-56,3.00,29.83,29.61,28.64,27.66,26.48,25.32,24.19,24.19,23.09,22.02,22.02,21.02,20.00,20.00,19.00,18.00,16.00,15.03,14.04,13.04,11.05,10.05,9.06,8.00,7.07,2.00,21.02,22.02,23.02,24.19,25.50,26.93,28.46,28.46,29.41,29.41,29.15,29.07,28.65,29.53,28.65,27.29,27.73,28.64,29.55,29.15,29.73,29.41,30.36,31.05,31.05,29.83
1779654610.2820315,-55,3.00,27.02,26.08,25.08,24.08,23.09,22.20,22.20,21.38,20.40,19.65,18.68,18.68,17.72,16.76,16.49,15.52,14.56,13.34,12.17,11.18,10.20,8.06,7.28,6.32,6.32,2.00,19.92,20.62,22.36,23.19,24.08,26.00,27.02,27.07,28.16,28.28,28.28,28.44,28.44,28.44,27.46,27.46,27.46,27.29,27.17,28.16,28.07,28.02,28.00,29.02,29.02,28.07
1779654610.3104763,-53,3.00,26.40,25.81,25.00,23.60,23.02,22.47,21.95,20.59,20.12,18.79,18.79,18.79,18.38,17.46,16.55,15.23,15.23,14.32,13.42,12.08,11.18,9.43,8.94,8.06,7.62,1.00,19.92,20.62,21.02,22.36,24.19,25.24,26.40,26.25,26.91,26.87,27.59,27.59,26.91,26.91,26.91,26.25,26.17,25.46,26.17,26.91,26.25,27.02,27.02,27.02,28.02,28.02
1779654610.344062,-51,3.00,21.21,20.52,19.80,19.10,18.44,17.80,17.80,17.20,16.40,16.40,15.81,15.26,15.26,15.26,13.89,13.89,13.04,13.04,11.66,10.82,10.00,10.00,8.60,8.60,7.81,2.83,15.62,16.28,16.97,17.69,18.44,19.21,20.00,20.00,20.25,21.10,21.47,21.47,21.02,20.59,20.59,20.59,20.59,20.25,20.81,20.00,20.62,21.26,21.26,21.26,21.26,20.62
1779654610.372403,-51,3.00,19.31,19.31,18.38,18.38,17.46,16.55,16.55,16.55,15.65,15.26,15.26,13.89,13.89,13.89,13.89,13.89,13.42,12.53,12.08,10.77,9.85,9.49,8.54,8.54,8.25,1.00,14.21,14.42,13.89,14.76,15.65,17.09,16.76,17.72,17.46,18.44,18.44,19.24,18.25,18.25,18.25,18.25,18.25,18.44,18.44,18.44,18.68,18.68,18.97,20.25,19.31,19.31
1779654610.4043443,-50,3.00,24.19,23.71,22.83,22.83,21.47,21.47,21.02,20.62,20.25,18.97,18.97,18.68,18.68,18.68,17.72,17.72,16.76,15.81,15.23,14.32,14.32,13.00,12.53,11.18,10.30,2.24,15.81,16.16,17.46,17.89,18.36,19.72,20.81,21.40,22.02,22.67,21.93,21.93,21.93,21.93,21.93,21.93,21.26,22.02,22.80,22.80,23.02,23.02,23.85,24.70,24.19,24.19
1779654610.4333727,-50,3.00,30.61,30.00,29.21,28.60,27.20,26.63,26.08,25.55,25.06,24.60,24.60,24.60,24.60,24.17,23.26,22.36,22.83,21.95,21.10,19.42,18.60,16.40,15.62,15.62,14.87,3.61,19.70,20.59,21.10,21.63,23.60,24.21,25.50,26.87,27.59,27.59,28.32,28.43,28.43,28.43,28.43,27.66,27.66,28.32,28.28,29.00,29.00,29.73,30.48,30.61,31.40,31.40
1779654610.4639874,-51,3.00,29.12,27.89,27.89,26.93,25.71,25.50,25.50,24.33,24.19,24.19,23.19,23.09,23.09,23.09,22.09,22.20,21.21,20.22,19.42,18.44,17.72,16.76,16.16,15.23,14.32,4.47,17.03,18.11,19.24,20.40,20.62,22.14,23.41,23.77,25.08,25.50,25.94,26.42,26.42,25.55,26.42,25.94,25.50,26.40,26.00,26.93,26.57,27.51,27.51,28.46,28.46,28.16
1779654610.4927835,-52,3.00,21.54,21.54,20.62,20.62,20.12,19.24,19.72,18.87,18.87,18.87,17.49,17.49,18.03,18.03,17.49,17.49,16.12,16.12,14.76,14.32,13.00,12.65,11.40,11.18,10.20,2.00,11.66,12.53,13.00,13.93,14.87,15.81,16.49,17.46,18.44,18.25,19.10,19.03,19.03,19.10,19.10,19.10,19.10,19.24,19.42,19.65,19.92,20.88,20.88,20.88,21.19,21.19
1779654610.5272229,-55,3.00,26.93,26.93,25.96,25.71,25.50,25.50,24.33,24.19,24.19,24.08,24.08,24.08,23.09,24.02,23.09,23.19,22.20,21.21,21.38,19.65,18.97,18.03,17.46,16.55,15.65,4.47,13.34,14.32,15.52,15.81,17.09,18.38,19.70,20.12,21.47,21.95,22.47,23.02,23.02,23.02,23.02,22.47,23.32,23.71,23.71,24.60,24.17,24.70,25.63,26.57,26.57,26.25
