timestamp,rssi,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46,sub_47,sub_48,sub_49,sub_50,sub_51,sub_52
1779652511.1761997,-56,3.00,8.00,6.00,5.10,3.16,2.83,2.24,3.00,4.47,5.83,7.21,8.06,9.43,11.66,13.04,14.42,15.81,17.20,18.60,20.00,20.62,21.26,20.52,21.21,21.93,22.67,5.66,31.62,31.02,31.02,30.08,30.46,31.38,30.87,30.87,29.55,29.55,28.64,28.23,26.00,24.70,24.04,22.80,21.59,20.22,19.10,19.10,18.03,17.00,16.00,15.03,14.04,12.04
1779652511.206911,-56,3.00,8.25,7.07,5.00,4.00,3.16,2.83,3.00,4.12,5.39,6.32,7.62,8.94,10.30,12.53,13.42,14.76,16.12,17.49,18.87,19.42,19.42,20.00,20.62,21.26,21.93,5.00,29.27,30.27,29.43,29.61,29.83,30.81,29.83,29.83,29.12,28.86,27.89,26.93,25.71,24.52,23.35,23.19,22.09,21.00,20.02,19.10,18.11,17.12,16.28,15.30,14.32,12.37
1779652511.2386222,-56,3.00,12.21,10.82,9.22,7.07,5.83,5.39,5.00,5.10,5.39,6.40,7.81,9.90,11.31,12.04,14.21,15.00,16.64,17.49,19.72,20.12,21.02,21.02,21.93,22.47,23.09,6.32,34.06,34.21,34.21,34.21,35.00,35.23,35.23,35.23,33.84,33.84,33.02,32.20,31.40,29.21,27.66,26.91,26.17,24.76,24.08,22.80,22.20,21.10,21.10,19.72,17.49,16.12
1779652511.2661614,-56,3.00,13.60,12.21,10.82,9.43,7.62,7.28,6.08,6.00,6.08,6.32,7.21,7.81,8.49,9.90,11.40,12.21,13.89,14.76,15.65,16.16,17.09,17.72,17.46,18.44,18.25,4.12,32.98,32.98,32.76,32.76,33.54,33.54,33.54,33.54,33.54,33.38,32.39,31.40,29.43,27.66,26.93,26.57,26.00,24.17,23.71,22.83,22.47,21.63,20.81,20.00,18.60,17.20
1779652511.2945216,-54,3.00,14.56,12.65,11.40,9.22,8.06,7.00,6.08,6.08,5.39,5.83,6.40,6.71,7.62,8.54,10.20,11.18,12.04,13.04,14.00,15.03,16.12,17.12,17.26,17.46,17.72,4.12,33.06,33.14,34.13,34.23,34.23,34.37,34.37,33.54,33.54,33.38,32.39,31.26,30.15,29.07,28.02,27.00,26.02,25.08,24.19,23.35,22.36,21.59,21.84,20.88,19.92,18.97
1779652511.3250651,-56,3.00,11.70,10.77,8.94,7.21,5.83,4.24,4.47,4.00,4.12,5.39,7.21,8.60,9.22,10.63,12.04,13.45,14.87,15.62,17.20,18.03,19.72,20.59,20.59,21.02,22.47,6.32,32.02,32.02,31.89,31.89,32.56,32.56,32.53,32.53,31.83,31.11,31.11,29.70,29.00,26.91,26.25,25.00,24.41,23.32,22.83,21.47,21.02,20.62,19.31,18.03,17.09,15.81
1779652511.353631,-57,3.00,9.06,7.07,6.00,4.00,2.24,1.41,2.24,3.61,5.00,7.21,8.60,10.00,11.40,13.60,15.00,17.03,19.21,19.85,21.26,22.63,23.35,24.08,24.84,25.61,26.40,7.21,32.28,31.32,31.62,31.62,31.95,31.95,31.95,31.95,31.02,30.08,29.15,28.79,27.51,26.25,24.74,23.54,22.36,22.20,21.02,20.00,19.03,18.03,17.03,16.12,15.13,14.14
1779652511.383734,-58,3.00,5.10,4.00,3.16,2.83,4.00,5.00,6.08,8.06,9.06,11.05,13.04,15.13,17.12,19.10,21.10,23.09,24.19,25.18,26.31,27.29,28.44,28.64,29.61,29.83,31.05,7.28,30.41,31.78,31.05,30.81,30.59,30.81,31.05,30.08,29.83,28.64,27.46,26.31,25.18,24.08,23.02,22.02,20.10,19.10,19.24,18.44,16.49,15.81,14.87,13.93,12.08,10.77
1779652511.419848,-58,3.00,2.83,2.00,2.83,4.24,5.83,7.21,9.43,10.82,13.04,14.42,17.20,18.60,20.81,22.80,25.00,26.40,28.60,30.00,31.62,32.45,32.76,33.62,34.48,35.36,35.78,8.94,30.41,30.41,30.48,30.61,30.61,30.48,29.83,29.83,28.43,28.32,26.87,26.17,24.76,22.67,22.02,20.00,18.60,17.49,16.55,15.23,14.87,13.93,11.70,10.44,9.49,8.25
1779652511.4450123,-57,3.00,3.61,3.00,2.83,3.61,5.39,7.28,8.25,10.20,11.40,13.34,15.52,17.72,18.97,20.88,23.09,24.04,26.25,28.16,29.12,29.83,30.81,30.59,31.58,32.39,33.24,9.06,30.87,30.46,30.08,30.08,30.08,29.73,29.73,29.73,28.79,27.86,26.00,25.08,24.17,22.83,21.10,20.25,19.42,17.80,17.03,15.56,14.14,13.45,12.81,11.40,10.00,8.60
